latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-21.133,-61.277,309,1.3,1.2,2020-05-30,0230,T,76,6.0NRT,287.9,14.8,N
-20.298,-56.52,301.4,1,1,2020-05-30,0230,T,41,6.0NRT,289.5,5.5,N
-20.502,-57.986,304.4,1,1,2020-05-30,0230,T,60,6.0NRT,291.5,6.5,N
-20.375,-57.416,336.2,1,1,2020-05-30,0230,T,100,6.0NRT,290.9,38.8,N
-20.376,-57.426,301.6,1,1,2020-05-30,0230,T,42,6.0NRT,289.7,5.5,N
-20.339,-57.422,316.1,1,1,2020-05-30,0230,T,92,6.0NRT,289.6,16,N
-20.623,-60.523,308.9,1.2,1.1,2020-05-30,0230,T,76,6.0NRT,290.5,12.8,N
-20.613,-60.524,303.3,1.2,1.1,2020-05-30,0230,T,54,6.0NRT,289.3,8.1,N
-19.388,-54.698,300.8,1.3,1.1,2020-05-30,0230,T,34,6.0NRT,282.8,8.8,N
-18.954,-54.49,306.2,1.3,1.1,2020-05-30,0230,T,67,6.0NRT,284.3,13,N
-18.956,-54.502,308.8,1.3,1.1,2020-05-30,0230,T,76,6.0NRT,283.7,15.4,N
-18.944,-54.491,315.3,1.3,1.1,2020-05-30,0230,T,91,6.0NRT,284.4,22,N
-18.946,-54.504,308.1,1.3,1.1,2020-05-30,0230,T,46,6.0NRT,283.6,14,N
-18.947,-54.497,322.7,1.3,1.1,2020-05-30,0230,T,100,6.0NRT,285.1,31.9,N
-18.521,-53.291,306.5,1.6,1.2,2020-05-30,0230,T,68,6.0NRT,284.2,19.4,N
-18.529,-55.483,307.3,1.2,1.1,2020-05-30,0230,T,71,6.0NRT,287,11.1,N
-18.824,-58.274,347.8,1,1,2020-05-30,0230,T,100,6.0NRT,291.8,58.5,N
-18.826,-58.283,344.9,1,1,2020-05-30,0230,T,100,6.0NRT,292.1,52.8,N
-18.483,-62.197,305.1,1.4,1.2,2020-05-30,0230,T,63,6.0NRT,291.7,10.5,N
-18.151,-61.946,307.1,1.4,1.2,2020-05-30,0230,T,70,6.0NRT,292,12.5,N
-18.152,-61.959,342.5,1.4,1.2,2020-05-30,0230,T,100,6.0NRT,293.3,75.7,N
-17.761,-60.803,326.1,1.2,1.1,2020-05-30,0230,T,100,6.0NRT,291.4,31.3,N
-17.763,-60.814,312.5,1.2,1.1,2020-05-30,0230,T,85,6.0NRT,290.7,15.1,N
-17.817,-61.24,322.1,1.2,1.1,2020-05-30,0230,T,100,6.0NRT,291.3,28.3,N
-17.819,-61.252,301.1,1.2,1.1,2020-05-30,0230,T,37,6.0NRT,290,6.9,N
-17.925,-62.425,316.4,1.4,1.2,2020-05-30,0230,T,93,6.0NRT,290.8,27,N
-17.927,-62.439,303.1,1.5,1.2,2020-05-30,0230,T,53,6.0NRT,290.5,10.7,N
-17.644,-61.16,344.2,1.2,1.1,2020-05-30,0230,T,100,6.0NRT,293.5,67.6,N
-17.645,-61.172,345.4,1.2,1.1,2020-05-30,0230,T,100,6.0NRT,293.3,70.8,N
-17.366,-60.075,344.5,1.1,1,2020-05-30,0230,T,100,6.0NRT,293.2,57.5,N
-17.367,-60.085,312.4,1.1,1,2020-05-30,0230,T,85,6.0NRT,291.6,12.7,N
-17.456,-61.681,322.1,1.3,1.1,2020-05-30,0230,T,100,6.0NRT,292.1,29.5,N
-16.554,-59.783,303.1,1,1,2020-05-30,0230,T,53,6.0NRT,292.1,5.7,N
-16.286,-60.441,303.5,1.1,1,2020-05-30,0230,T,55,6.0NRT,292,6.5,N
-16.045,-59.557,310.2,1,1,2020-05-30,0230,T,79,6.0NRT,292.4,9.6,N
-16.047,-59.567,302.4,1,1,2020-05-30,0230,T,49,6.0NRT,292.1,4.6,N
-16.207,-61.302,300.6,1.2,1.1,2020-05-30,0230,T,30,6.0NRT,290.1,5.8,N
-16.208,-61.313,305.8,1.2,1.1,2020-05-30,0230,T,66,6.0NRT,290.5,9.3,N
-16.201,-61.336,305.6,1.2,1.1,2020-05-30,0230,T,65,6.0NRT,291.4,8.9,N
-16.192,-61.338,321.7,1.2,1.1,2020-05-30,0230,T,100,6.0NRT,290.7,24.9,N
-16.193,-61.349,312.8,1.2,1.1,2020-05-30,0230,T,86,6.0NRT,290.6,15.3,N
-16.091,-60.823,306.8,1.1,1.1,2020-05-30,0230,T,69,6.0NRT,291,8.9,N
