latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
6.886,117.476,314.6,1,1,2020-06-05,0245,T,62,6.0NRT,297.2,8,D
-33.808,115.263,308.9,2.4,1.5,2020-06-05,0300,T,64,6.0NRT,288.5,29.4,D
-33.822,115.262,316,2.4,1.5,2020-06-05,0300,T,76,6.0NRT,288.3,50.1,D
-33.815,115.256,327.7,2.4,1.5,2020-06-05,0300,T,85,6.0NRT,288.9,93.4,D
-0.045,117.425,308.6,1.2,1.1,2020-06-05,0250,T,37,6.0NRT,289.5,4.9,D
-1.726,114.839,314.3,1,1,2020-06-05,0250,T,49,6.0NRT,298.3,7.1,D
-1.894,115.859,313.6,1.1,1,2020-06-05,0250,T,38,6.0NRT,295.8,5.9,D
-2.458,115.684,311.4,1.1,1,2020-06-05,0250,T,60,6.0NRT,294.1,6.1,D
-2.901,115.252,314.9,1,1,2020-06-05,0250,T,65,6.0NRT,295.3,6.7,D
-8.112,112.925,327.7,1,1,2020-06-05,0250,T,82,6.0NRT,300.4,23.4,D
46.026,-64.436,303.1,1,1,2020-06-05,0210,T,53,6.0NRT,285.3,7.4,N
68.525,164.448,307.1,2.5,1.5,2020-06-05,0230,T,59,6.0NRT,289.5,28.6,D
68.51,164.492,305.5,2.5,1.5,2020-06-05,0230,T,49,6.0NRT,286.6,25.5,D
68.809,152.406,332.5,1.4,1.2,2020-06-05,0230,T,67,6.0NRT,289.6,48.7,D
64.219,129.653,304.7,1.2,1.1,2020-06-05,0230,T,46,6.0NRT,289.4,7,D
63.584,127.725,304,1.4,1.2,2020-06-05,0230,T,0,6.0NRT,292.5,5.2,D
63.546,127.73,327.2,1.4,1.2,2020-06-05,0230,T,84,6.0NRT,293.8,35.4,D
63.543,127.757,319,1.4,1.2,2020-06-05,0230,T,73,6.0NRT,293.9,21.7,D
61.545,113.171,308.8,4.3,1.9,2020-06-05,0230,T,68,6.0NRT,293.7,57.9,D
61.544,113.163,306.7,4.3,1.9,2020-06-05,0230,T,64,6.0NRT,293.7,47,D
61.346,112.752,306.7,4.5,1.9,2020-06-05,0230,T,25,6.0NRT,293.3,38.5,D
61.347,112.837,318.9,4.4,1.9,2020-06-05,0230,T,79,6.0NRT,294.6,122.7,D
-20.044,-47.798,302.4,1,1,2020-06-05,0155,T,49,6.0NRT,289.8,4.6,N
-15.875,-47.071,316.2,1.1,1.1,2020-06-05,0155,T,93,6.0NRT,288.9,19.2,N
-15.877,-47.082,309,1.1,1.1,2020-06-05,0155,T,76,6.0NRT,289.3,12.4,N
-14.283,-44.267,302.9,1.8,1.3,2020-06-05,0155,T,52,6.0NRT,290.7,12.4,N
-15.094,-49.692,301.7,1,1,2020-06-05,0155,T,44,6.0NRT,290.4,4.7,N
-15.085,-49.693,331.6,1,1,2020-06-05,0155,T,100,6.0NRT,290.9,31.4,N
-14.992,-49.553,317.1,1,1,2020-06-05,0155,T,94,6.0NRT,290.8,15.1,N
